signal,entry_time,exit_time,pair,direction,pair_entry,pair_exit,r_actual,outcome,sl_pts_dxy,dxy_outcome,dxy_entry,dxy_tp,dxy_sl,london_open,gap_pts_at_lon,wave_ext_pts
REV_SHORT,2025-10-20 07:45:00+00:00,2025-10-21 01:45:00+00:00,GBPUSD,long,1.34172,1.34009,-0.712,loss,2290,loss,150.744,150.1715,150.973,150.659,0.0,1300.0
REV_SHORT,2025-10-20 07:45:00+00:00,2025-10-21 01:45:00+00:00,NZDUSD,long,0.57349,0.57428,0.345,win,2290,loss,150.744,150.1715,150.973,150.659,0.0,1300.0
GAP_REJ_LONG,2025-10-20 09:00:00+00:00,2025-10-20 09:30:00+00:00,USDJPY,long,150.43,150.603,6.407,win,270,loss,98.482,98.509,98.455,98.505,-70.0,0.0
GAP_REJ_LONG,2025-10-20 09:00:00+00:00,2025-10-20 09:30:00+00:00,NZDUSD,short,0.57386,0.57349,1.341,win,270,loss,98.482,98.509,98.455,98.505,-70.0,0.0
REV_LONG,2025-10-20 09:30:00+00:00,2025-10-21 05:15:00+00:00,USDJPY,long,150.603,151.376,2.832,win,2730,win,150.603,151.422,150.33,150.659,0.0,2290.0
REV_LONG,2025-10-20 09:30:00+00:00,2025-10-21 05:15:00+00:00,AUDUSD,short,0.6496,0.65233,-1.0,loss,2730,win,150.603,151.422,150.33,150.659,0.0,2290.0
REV_LONG,2025-10-20 09:30:00+00:00,2025-10-21 05:15:00+00:00,USDCHF,long,0.79259,0.79341,0.3,win,2730,win,150.603,151.422,150.33,150.659,0.0,2290.0
REV_LONG,2025-10-20 09:30:00+00:00,2025-10-21 05:15:00+00:00,USDCAD,long,1.40294,1.40524,0.842,win,2730,win,150.603,151.422,150.33,150.659,0.0,2290.0
REV_LONG,2025-10-20 09:30:00+00:00,2025-10-21 05:15:00+00:00,GBPUSD,short,1.34347,1.33824,1.916,win,2730,win,150.603,151.422,150.33,150.659,0.0,2290.0
REV_LONG,2025-10-20 09:30:00+00:00,2025-10-21 05:15:00+00:00,EURUSD,short,1.16667,1.16303,1.333,win,2730,win,150.603,151.422,150.33,150.659,0.0,2290.0
REV_LONG,2025-10-20 09:30:00+00:00,2025-10-21 05:15:00+00:00,NZDUSD,short,0.57349,0.57274,0.277,win,2730,win,150.603,151.422,150.33,150.659,0.0,2290.0
ATTR_CORE_LONG,2025-10-22 18:45:00+00:00,2025-10-22 19:30:00+00:00,USDCHF,long,0.79594,0.79619,0.758,win,330,win,151.878,151.977,151.845,151.737,880.0,0.0
ATTR_CORE_LONG,2025-10-22 18:45:00+00:00,2025-10-22 19:30:00+00:00,NZDUSD,short,0.57399,0.57412,-0.4,loss,330,win,151.878,151.977,151.845,151.737,880.0,0.0
ATTR_CORE_LONG,2025-10-22 18:45:00+00:00,2025-10-22 19:30:00+00:00,GBPUSD,short,1.33559,1.33592,-1.0,loss,330,win,151.878,151.977,151.845,151.737,880.0,0.0
ATTR_CORE_LONG,2025-10-22 18:45:00+00:00,2025-10-22 19:30:00+00:00,AUDUSD,short,0.6488,0.64913,-1.0,loss,330,win,151.878,151.977,151.845,151.737,880.0,0.0
ATTR_CORE_LONG,2025-10-22 18:45:00+00:00,2025-10-22 19:30:00+00:00,EURUSD,short,1.1609,1.16072,0.545,win,330,win,151.878,151.977,151.845,151.737,880.0,0.0
ATTR_CORE_LONG,2025-10-22 18:45:00+00:00,2025-10-22 19:30:00+00:00,USDJPY,long,151.878,151.974,2.909,win,330,win,151.878,151.977,151.845,151.737,880.0,0.0
ATTR_CORE_LONG,2025-10-22 18:45:00+00:00,2025-10-22 19:30:00+00:00,USDCAD,long,1.39881,1.39848,-1.0,loss,330,win,151.878,151.977,151.845,151.737,880.0,0.0
LON_ATTR_LONG,2025-10-23 07:15:00+00:00,2025-10-23 07:30:00+00:00,AUDUSD,short,0.65062,0.65068,-1.0,loss,60,loss,99.035,99.044,99.029,99.061,0.0,0.0
LON_ATTR_LONG,2025-10-23 07:15:00+00:00,2025-10-23 07:30:00+00:00,NZDUSD,short,0.57471,0.57477,-1.0,loss,60,loss,99.035,99.044,99.029,99.061,0.0,0.0
LON_ATTR_LONG,2025-10-23 07:15:00+00:00,2025-10-23 07:30:00+00:00,USDJPY,long,152.452,152.446,-1.0,loss,60,loss,99.035,99.05,99.029,99.061,0.0,0.0
GAP_REJ_LONG,2025-10-27 06:45:00+00:00,2025-10-27 07:00:00+00:00,NZDUSD,short,0.5765,0.5763,2.492,win,80,loss,98.927,98.935,98.919,98.909,-60.0,0.0
GAP_REJ_LONG,2025-10-27 06:45:00+00:00,2025-10-27 07:00:00+00:00,USDJPY,long,152.976,152.968,-1.0,loss,80,loss,98.927,98.935,98.919,98.909,-60.0,0.0
LON_ATTR_LONG,2025-11-06 13:00:00+00:00,2025-11-07 11:30:00+00:00,AUDUSD,short,0.65189,0.64847,1.871,win,1830,loss,99.843,100.1175,99.66,100.065,0.0,0.0
LON_ATTR_LONG,2025-11-06 13:00:00+00:00,2025-11-07 11:30:00+00:00,NZDUSD,short,0.56676,0.56196,2.628,win,1830,loss,99.843,100.1175,99.66,100.065,0.0,0.0
LON_ATTR_LONG,2025-11-06 13:00:00+00:00,2025-11-07 11:30:00+00:00,USDJPY,long,153.61,153.427,-1.0,loss,1830,loss,99.843,100.3005,99.66,100.065,0.0,0.0
LON_ATTR_LONG,2025-11-07 09:00:00+00:00,2025-11-07 09:15:00+00:00,AUDUSD,short,0.64876,0.64877,-1.0,loss,10,loss,99.846,99.8475,99.845,99.864,0.0,0.0
LON_ATTR_LONG,2025-11-07 09:00:00+00:00,2025-11-07 09:15:00+00:00,USDJPY,long,153.52,153.519,-1.0,loss,10,loss,99.846,99.8485,99.845,99.864,0.0,0.0
LON_ATTR_LONG,2025-11-07 09:00:00+00:00,2025-11-07 09:15:00+00:00,NZDUSD,short,0.56224,0.56196,28.431,win,10,loss,99.846,99.8475,99.845,99.864,0.0,0.0
LON_ATTR_LONG,2025-11-12 07:15:00+00:00,2025-11-12 07:30:00+00:00,NZDUSD,short,0.56593,0.566,-1.0,loss,70,win,99.486,99.4965,99.479,99.517,0.0,0.0
LON_ATTR_LONG,2025-11-12 07:15:00+00:00,2025-11-12 07:30:00+00:00,AUDUSD,short,0.65391,0.65398,-1.0,loss,70,win,99.486,99.4965,99.479,99.517,0.0,0.0
LON_ATTR_LONG,2025-11-12 07:15:00+00:00,2025-11-12 07:30:00+00:00,USDJPY,long,154.548,154.632,12.0,win,70,win,99.486,99.5035,99.479,99.517,0.0,0.0
LON_ATTR_LONG,2025-11-13 10:15:00+00:00,2025-11-13 17:15:00+00:00,USDJPY,long,154.567,154.298,-1.0,loss,2690,loss,99.266,99.9385,98.997,99.538,0.0,0.0
LON_ATTR_LONG,2025-11-13 10:15:00+00:00,2025-11-13 17:15:00+00:00,NZDUSD,short,0.5676,0.56754,0.024,win,2690,loss,99.266,99.6695,98.997,99.538,0.0,0.0
LON_ATTR_LONG,2025-11-13 10:15:00+00:00,2025-11-13 17:15:00+00:00,AUDUSD,short,0.65713,0.6552,0.717,win,2690,loss,99.266,99.6695,98.997,99.538,0.0,0.0
ATTR_CORE_LONG,2025-11-14 15:30:00+00:00,2025-11-17 15:00:00+00:00,EURUSD,short,1.16122,1.15843,1.268,win,2200,win,154.424,155.084,154.204,154.601,1180.0,930.0
ATTR_CORE_LONG,2025-11-14 15:30:00+00:00,2025-11-17 15:00:00+00:00,AUDUSD,short,0.65359,0.65072,1.305,win,2200,win,154.424,155.084,154.204,154.601,1180.0,930.0
ATTR_CORE_LONG,2025-11-14 15:30:00+00:00,2025-11-17 15:00:00+00:00,NZDUSD,short,0.56847,0.56606,1.097,win,2200,win,154.424,155.084,154.204,154.601,1180.0,930.0
ATTR_CORE_LONG,2025-11-14 15:30:00+00:00,2025-11-17 15:00:00+00:00,GBPUSD,short,1.31297,1.31517,-1.0,loss,2200,win,154.424,155.084,154.204,154.601,1180.0,930.0
