gap,approach,reward,near_tp,n_sigs,net_r,wr,pf,net_eurusd,net_usdjpy,net_usdcad,net_xauusd
100,125,100,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
100,125,100,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
100,125,125,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
100,125,125,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
100,125,150,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
100,125,150,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
100,125,175,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
100,125,175,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
100,125,200,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
100,125,200,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
100,150,50,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
100,150,50,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
100,150,75,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
100,150,75,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
100,150,100,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
100,150,100,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
100,150,125,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
100,150,125,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
100,150,150,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
100,150,150,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
100,150,175,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
100,150,175,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
100,150,200,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
100,150,200,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
100,175,50,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
100,175,50,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
100,175,75,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
100,175,75,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
100,175,100,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
100,175,100,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
100,175,125,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
100,175,125,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
100,175,150,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
100,175,150,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
100,175,175,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
100,175,175,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
100,175,200,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
100,175,200,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
100,200,50,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
100,200,50,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
100,200,75,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
100,200,75,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
100,200,100,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
100,200,100,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
100,200,125,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
100,200,125,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
100,200,150,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
100,200,150,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
100,200,175,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
100,200,175,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
100,200,200,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
100,200,200,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
125,50,50,True,99,-6.23,50.7,0.971,6.09,-16.29,-2.22,6.2
125,50,50,False,94,-22.71,51.1,0.88,0.93,-9.9,-12.22,-1.53
125,50,75,True,99,-6.23,50.7,0.971,6.09,-16.29,-2.22,6.2
125,50,75,False,94,-22.71,51.1,0.88,0.93,-9.9,-12.22,-1.53
